x,y,z,WGS84_x,WGS84_y,theta
331.42621160000004,68.88780214,0,1612.436541239731,966.6325329933316,2.913679734218765
329.4145389,68.87196951,0,1611.9665908367606,968.5886066993698,2.913679734218765
331.3288488,53.32442369,0,1597.2536318586208,963.2109118839726,2.913679734218765
329.3329683,53.32700422,0,1596.8051866199821,965.1557621350512,2.913679734218765
331.42621360000004,-38.13027168,0,1508.1859465349698,942.4523421786726,2.913679734218765
329.4149284,-38.08628398,0,1507.7743570667226,944.4215545039624,2.913679734218765
331.4451131,-57.07968502,0,1489.7308337247232,938.1524079600349,2.913679734218765
329.4175953,-57.11413179,0,1489.2391704221955,940.1197112426162,2.913679734218765
331.44284689999995,-148.5718437,0,1400.6041427720338,917.4824281614274,2.913679734218765
329.5411903,-148.5234518,0,1400.2216136355419,919.3458419805393,2.913679734218765
331.4092017,-167.5843162,0,1382.0757292991038,913.2194319451228,2.913679734218765
329.6173506,-167.56756040000002,0,1381.6871921631973,914.9687318094075,2.913679734218765
306.17282420000004,-267.7716639,0,1278.7771872440353,915.1663777008653,2.913679734218765
305.20281669999997,-266.7807512,0,1279.5233067668742,916.3351925648749,2.913679734218765
292.0645489,-281.9129817,0,1261.8138698015828,925.7146553993225,2.913679734218765
290.63409160000003,-280.4871647,0,1262.879610746866,927.4302772814408,2.913679734218765
277.9590365,-278.05089889999994,0,1262.3890107506886,940.3280183421448,2.913679734218765
275.4805981,-278.0692186,0,1261.8111742598703,942.7382252840325,2.913679734218765
294.9179876,-260.3791964,0,1283.435513114673,927.8004555348307,2.913679734218765
292.7630855,-259.1850729,0,1284.1118675210746,930.1694381665438,2.913679734218765
-2.531269457,-278.0629022,0,1199.0019614206394,1213.5621557720006,2.913679734218765
-0.610519794,-278.0498212,0,1199.4486877534073,1211.6940321242437,2.913679734218765
-2.5185396630000003,-259.0823807,0,1217.4945244144183,1217.8383073583245,2.913679734218765
-0.510781229,-259.0657892,0,1217.9643296545837,1215.8862181585282,2.913679734218765
-2.551215114,-167.6059545,0,1306.5979948395398,1238.5387705462053,2.913679734218765
-0.41319032,-167.6142116,0,1307.073027083301,1236.454169249162,2.913679734218765
-2.598853398,-148.603208,0,1325.0985682366882,1242.878750721924,2.913679734218765
-0.622390394,-148.6079471,0,1325.5405234415084,1240.952328113839,2.913679734218765
-2.539268665,-57.12523578,0,1414.2243904207135,1263.489688881673,2.913679734218765
-0.706999477,-57.16185743,0,1414.602707697195,1261.696527549997,2.913679734218765
-2.572049649,-38.1609078,0,1432.6908957289997,1267.8065154971555,2.913679734218765
-0.710597732,-38.12616741,0,1433.1453233178472,1266.001049988903,2.913679734218765
-2.420835475,53.29312792,0,1521.8141036146553,1288.3227854156867,2.913679734218765
-0.5621344079999999,53.30139628,0,1522.2421221975237,1286.5140184005722,2.913679734218765
-2.483158638,68.82251087,0,1536.9278163863346,1291.8922819122672,2.913679734218765
-0.748814077,68.83683535,0,1537.3336367590819,1290.2060239035636,2.913679734218765
-38.48381228,68.78596444,0,1528.7580506613012,1326.9537041066214,2.913679734218765
-39.86895829,68.78098623,0,1528.440234499285,1328.3019055528566,2.913679734218765
-38.59269968,53.30469237,0,1513.652520471136,1323.561861090362,2.913679734218765
-40.51911312,53.29305,0,1513.205915863975,1325.4358271015808,2.913679734218765
-38.43658668,-38.12485195,0,1424.6226096500177,1302.751745160669,2.913679734218765
-40.53749735,-38.11307419,0,1424.1593927696813,1304.8009875770658,2.913679734218765
-38.38294797,-57.1499346,0,1406.1016334795859,1298.4008729895577,2.913679734218765
-40.49314984,-57.15998182,0,1405.615056712064,1300.454235093668,2.913679734218765
-38.54582086,-148.59215680000003,0,1316.987299389788,1277.898629498668,2.913679734218765
-40.54869829,-148.60246669999998,0,1316.524716145941,1279.8473832122982,2.913679734218765
-38.44389505,-167.61481809999998,0,1298.479592177784,1273.5012660203502,2.913679734218765
-40.37467528,-167.6091726,0,1298.048841723823,1275.3833920024335,2.913679734218765
-38.52293438,-259.07061519999996,0,1209.37097599986,1252.9142897184938,2.913679734218765
-40.53576261,-259.053298,0,1208.9330570887541,1254.878979107365,2.913679734218765
-38.49285964,-278.051734,0,1190.8875026188325,1248.5963055631146,2.913679734218765
-40.75302247,-278.0755833,0,1190.3535977764986,1250.792632139288,2.913679734218765
-343.9269654,-278.0946432,0,1121.8344220557483,1546.1222151368856,2.913679734218765
-341.9913495,-278.109802,0,1122.2569978178944,1544.2332290522754,2.913679734218765
-343.9906815,-259.0611194,0,1140.36134415376,1550.4848113311455,2.913679734218765
-341.9895694,-259.0290373,0,1140.844737703097,1548.5426966138184,2.913679734218765
-343.9509858,-167.62350980000002,0,1229.443353666109,1571.106004467234,2.913679734218765
-341.9606459,-167.6269499,0,1229.889709692914,1569.1663573216647,2.913679734218765
-343.9889501,-148.6404445,0,1247.926940604928,1575.4321139603853,2.913679734218765
-341.9637435,-148.62208930000003,0,1248.4024062603712,1573.4634263021871,2.913679734218765
-343.9471795,-57.19496933,0,1337.0170810974669,1596.0530630387366,2.913679734218765
-342.0776281,-57.22022724,0,1337.4148919744184,1594.2261511888355,2.913679734218765
-343.9717436,-38.19455459,0,1355.5205965280766,1600.3700388772413,2.913679734218765
-342.09270019999997,-38.16451311,0,1355.974421426421,1598.5463751060888,2.913679734218765
-343.992064,53.26989559,0,1444.6151921930723,1621.0557605940849,2.913679734218765
-342.05841360000005,53.22050837,0,1445.0039805846754,1619.1609554449096,2.913679734218765
-344.11735939999994,68.75282157,0,1459.669421111932,1624.676104155369,2.913679734218765
-341.97768510000003,68.77748221,0,1460.1768925430952,1622.5973336035386,2.913679734218765
-379.8276171,68.79088831,0,1451.63795255078,1659.4714984884486,2.913679734218765
-381.814736,68.81721286,0,1451.2146169526968,1661.4131785538048,2.913679734218765
-379.8140981,53.27135935,0,1436.5228118936066,1655.9517705421895,2.913679734218765
-381.7300993,53.22712261,0,1436.0468083968153,1657.8082290412858,2.913679734218765
-379.86641960000003,-38.19128292,0,1347.413564318791,1635.3372206995264,2.913679734218765
-381.7714881,-38.1652485,0,1347.008484963444,1637.198906628415,2.913679734218765
-379.83577030000004,-57.1799149,0,1328.9229018668411,1631.0169792780653,2.913679734218765
-382.00360939999996,-57.20195258,0,1328.4116218730342,1633.1237789345905,2.913679734218765
-379.8191193,-148.6547898,0,1239.8173219821183,1610.3324766587466,2.913679734218765
-381.85453939999996,-148.65238180000003,0,1239.3597749037435,1612.3158050365746,2.913679734218765
-379.82619439999996,-167.6287127,0,1221.3324645984685,1606.052307529375,2.913679734218765
-381.7412398,-167.6615319,0,1220.8677993430756,1607.9104146799073,2.913679734218765
-379.769004,-259.07054680000005,0,1132.2682307522045,1585.335779255256,2.913679734218765
-381.7142218,-259.05595669999997,0,1131.8429314962123,1587.2339904410765,2.913679734218765
-379.8525004,-278.11402169999997,0,1113.6983529740246,1581.1143402568996,2.913679734218765
-381.7252353,-278.12422260000005,0,1113.2652809533756,1582.936341543682,2.913679734218765
-687.2980344,-278.1909158,0,1044.1576943886466,1880.5919839851558,2.913679734218765
-685.4765125,-278.22623799999997,0,1044.5348492163466,1878.8095856215805,2.913679734218765
-687.4442999,-259.1515744,0,1062.6716320274863,1885.036309315823,2.913679734218765
-685.4099398,-259.13754359999996,0,1063.1449532981496,1883.0577277904376,2.913679734218765
-687.3272399,-167.7006945,0,1151.7840487406356,1905.5851371437311,2.913679734218765
-685.4428694000001,-167.72044630000002,0,1152.1905716401525,1903.7450334923342,2.913679734218765
-687.2582151,-148.6607113,0,1170.3472553296015,1909.8198845759034,2.913679734218765
-685.451283,-148.63681830000002,0,1170.7787975660758,1908.0650780936703,2.913679734218765
-687.2985826,-57.248678000000005,0,1259.3862600706052,1930.513291648589,2.913679734218765
-685.2703074,-57.24630025,0,1259.8468547860393,1928.5380047205836,2.913679734218765
-687.3213507999999,-38.19424335,0,1277.9428042352665,1934.8407235536724,2.913679734218765
-685.3813539,-38.20247473,0,1278.3731181395706,1932.949034976773,2.913679734218765
-687.3245962,53.23409742,0,1367.006082285894,1955.5016530910507,2.913679734218765
-685.2751954,53.22217989,0,1367.457524617901,1953.5025569228455,2.913679734218765
-687.3507932,68.76278849,0,1382.1272835922427,1959.0358013175428,2.913679734218765
-685.3588505,68.83736353,0,1382.6499994383194,1957.112219943665,2.913679734218765
